name,url,description,duration,remote_support,adaptive_support,test_type
MS Access (New),https://www.shl.com/products/product-catalog/view/ms-access-new,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",Not Available,No,No,Knowledge & Skills
MS Excel (New),https://www.shl.com/products/product-catalog/view/ms-excel-new,"Multi-choice test that measures the ability to use MS Excel to maintain, organize, analyze and present numeric data.",Not Available,No,No,Knowledge & Skills
MS Office Basic Computer Literacy (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new,"Multi-choice test that measures the ability to use MS Word, MS Excel and MS PowerPoint to perform basic tasks on a computer.",Not Available,No,No,Knowledge & Skills
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new,"Simulation based test that measures the ability to use basic computer operations, browser navigation, MS office and email.",Not Available,No,No,Simulations
MS PowerPoint (New),https://www.shl.com/products/product-catalog/view/ms-powerpoint-new,"Multi-choice test that measures the knowledge of MS PowerPoint toolbars, slide layouts, animation, slideshow, slide designs and formats.",Not Available,No,No,Knowledge & Skills
MS Word (New),https://www.shl.com/products/product-catalog/view/ms-word-new,Multi-choice test that measures the ability to use MS Word to record and save textual information.,Not Available,No,No,Knowledge & Skills
MuleSoft Development (New),https://www.shl.com/products/product-catalog/view/mulesoft-development-new,"Multi-choice test that measures the knowledge of MuleSoft basic concepts, APIs and web services, Mule flow and scope, connectors and deployment.",Not Available,No,No,Knowledge & Skills
Multitasking Ability,https://www.shl.com/products/product-catalog/view/multitasking-ability,"The Multitasking Ability assessment is a measure of one’s ability to adeptly work on more than one task simultaneously, while maintaining efficiency and effectiveness when interrupted or switching between tasks. This test is a face-valid, split-screen simulation that is designed to assess multitasking ability. It captures the dynamic nature of the working environment by presenting the candidate with multiple types of items in a timed format. Candidates will be required to complete problem-solving items that are presented on one side of the screen, while at the same time attending to emails that are presented within an email inbox on the other side of the screen.",Not Available,No,No,Ability & Aptitude | Knowledge & Skills | Simulations
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.",Not Available,No,No,Knowledge & Skills
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",Not Available,No,No,Knowledge & Skills
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",Not Available,No,No,Knowledge & Skills
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",Not Available,No,No,Knowledge & Skills
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.",Not Available,No,No,Knowledge & Skills
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",Not Available,No,No,Knowledge & Skills
Network Engineer/Analyst Solution,https://www.shl.com/products/product-catalog/view/network-engineeranalyst-solution,"The Network Engineer/Analyst solution is designed for use with professional level telecommunications engineers and network analysts. The solution is focused on positions that involve the design and monitoring of complex telecommunications networks, and places an emphasis on reasoning ability, attention to detail, and multitasking. Sample tasks may include: designing networks or network elements, ensuring proper network operation and performance, and monitoring and troubleshooting electronic data and communication networks. Potential job titles that use this solution are: Network Engineer, Network Analyst, and Communications Engineer. There are multiple configurations of this solution available.",Not Available,No,No,Personality & Behavior | Simulations | Knowledge & Skills | Ability & Aptitude
Networking and Implementation (New),https://www.shl.com/products/product-catalog/view/networking-and-implementation-new,"Multi-choice test that measures the knowledge of networking devices, protocols, reference models, routing and implementation of networks.",Not Available,No,No,Knowledge & Skills
Node.js (New),https://www.shl.com/products/product-catalog/view/node-js-new,"Multi-choice test that measures the basic knowledge of Node.js such as events, streams, file system, error handling, concurrency, DB handling and express framework.",Not Available,No,No,Knowledge & Skills
Nurse Leader Solution,https://www.shl.com/products/product-catalog/view/nurse-leader-solution,"The Nurse Leader solution is an assessment used for job candidates applying to entry-level nurse leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning nurses to specific duties; coaching nurses on attendance, conduct, schedule adherence, and work related tasks; developing nurses' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others in a healthcare setting. Potential job titles that use this solution are: Nurse Leader or Nurse Manager. There are multiple configurations and versions of this solution available.",Not Available,No,No,Simulations | Ability & Aptitude | Personality & Behavior
Nurse Solution,https://www.shl.com/products/product-catalog/view/nurse-solution,"The Nurse solution is for professional-level healthcare nursing positions that require licensing or registration. Sample tasks for these jobs include, but are not limited to: assessing the health conditions of patients, documenting patients' medical information, creating a nursing care plan, and educating patients' about healthcare issues. Potential job titles that use this solution are: Registered Nurse, Charge Nurse, Licensed Practical Nurse, and Clinic Nurse. Multiple configurations of this solution are available.",Not Available,No,No,Personality & Behavior | Ability & Aptitude
Nursing Assistant Solution,https://www.shl.com/products/product-catalog/view/nursing-assistant-solution,"The Nursing Assistant solution is for entry-level positions in a clinic or hospital environment. Sample tasks for this job include, but are not limited to: turning and re-positioning bedridden patients, feeding patients who cannot feed themselves, and observing patients' conditions, including measuring and recording food intake. Potential job titles that use this solution are: Certified Nursing Assistant, Nursing Aide, Patient Care Technician, and Hospital Attendant. Multiple configurations of this solution are available.",Not Available,No,No,Ability & Aptitude | Personality & Behavior
Nursing (New),https://www.shl.com/products/product-catalog/view/nursing-new,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",Not Available,No,No,Knowledge & Skills
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r,"The SHL Occupational Personality Questionnaire, the OPQ32, is one of the most widely used and respected measures of workplace behavioural style in the world. It sets a high standard of measurement excellence, providing HR professionals and business managers with relevant and accurate information to make fast and well-informed people decisions. The OPQ32 provides a clear framework for understanding the impact of personality on job performance. It is internationally recognised for its accuracy of assessment. Over 90 independent validation studies have been conducted on the OPQ over a period of 25 years, across 20 countries and 40 industries, providing concrete evidence of its power to predict performance in the workplace.",Not Available,No,No,Personality & Behavior
Operations Management (New),https://www.shl.com/products/product-catalog/view/operations-management-new,"Multi-choice test that measures the knowledge of planning, product design and development, quality management and supply chain management.",Not Available,No,No,Knowledge & Skills
OPQ Candidate Plus Report,https://www.shl.com/products/product-catalog/view/opq-candidate-plus-report,"Director, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",Not Available,No,No,Personality & Behavior
OPQ Candidate Report 2.0,https://www.shl.com/products/product-catalog/view/opq-candidate-report-2-0,A brief narrative OPQ (Occupational Personality Questionnaire) report structure around 3 OPQ profile sections which can be given to candidates to keep after a feedback session,Not Available,No,No,Personality & Behavior
OPQ Emotional Intelligence Report,https://www.shl.com/products/product-catalog/view/opq-emotional-intelligence-report,This OPQ (Occupational Personality Questionnaire) report explores how a person manages feelings and relationships with other people. It is intended for use in a development setting.,Not Available,No,No,Personality & Behavior
OPQ Leadership Report,https://www.shl.com/products/product-catalog/view/opq-leadership-report,"This OPQ (Occupational Personality Questionnaire) report provides a detailed analysis of an individual's leadership potential. It is based on SHL's leading edge Leadership Model, providing a competency based approach to leadership.",Not Available,No,No,Personality & Behavior
OPQ Manager Plus Report,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report,"This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers. It uses clear succinct bullets and tables for ease of interpretation. It provide simple comments on each of the personality traits.

Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.

Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.",Not Available,No,No,Personality & Behavior
OPQ Manager Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report-2-0,This concise OPQ (Occupational Personality Questionnaire) report is designed for use with and by managers. It uses clear succinct bullets and tables for ease of interpretation. It provides simple comments on each of the personality traits.,Not Available,No,No,Personality & Behavior
OPQ Maximising your Learning Report,https://www.shl.com/products/product-catalog/view/opq-maximising-your-learning-report,This OPQ (Occupational Personality Questionnaire) report is designed to help people get the most from their development. It summarises the preferred approach to learning across four dimensions.,Not Available,No,No,Personality & Behavior
OPQ MQ Sales Report,https://www.shl.com/products/product-catalog/view/opq-mq-sales-report,"This OPQ (Occupational Personality Questionnaire) report provides a graphical and narrative summary of an individual's natural style that is critical to sales success. It can also, optionally, use input from the SHL Motivation Questionnaire (MQ) to add information about the sales motivators and drives of an individual. Note: updated versions of Turkish, Hungarian and Indonesian Sales Report were launched on 01 July 2013.

Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.

Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.",Not Available,No,No,Personality & Behavior
OPQ Premium Plus Report,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report,"This OPQ (Occupational Personality Questionnaire) report contains a selection of reports including OPQ profile, user report, manager plus report, candidate plus report, universal competency report, team impact selection report.",Not Available,No,No,Personality & Behavior
OPQ Premium Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report-2-0,"This OPQ (Occupational Personality Questionnaire) report contains a selection of reports including OPQ profile, user report, manager plus report, candidate plus report, universal competency report, team impact selection report.",Not Available,No,No,Personality & Behavior
OPQ Profile Report,https://www.shl.com/products/product-catalog/view/opq-profile-report,"This is a graphical profile charts presenting results across the 32 OPQ scales. It is designed to be interpreted by OPQ trained users only.

Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.

Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.",Not Available,No,No,Personality & Behavior
OPQ Team Impact Group Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-group-development-report,"These reports are based on the SHL Team Impact Model, which is focused on actual team processes. They are supported by clear and easy to understand graphics which do not require OPQ training.
“IMPORTANT! Please note that for a sample report contact Managed Services"".",Not Available,No,No,Personality & Behavior
OPQ Team Impact Individual Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-individual-development-report,"These reports are based on the SHL Team Impact Model, which is focused on actual team processes. They are supported by clear and easy to understand graphics which do not require OPQ training.",Not Available,No,No,Personality & Behavior
OPQ Team Impact Selection Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-selection-report,"These reports are based on the SHL Team Impact Model, which is focused on actual team processes. They are supported by clear and easy to understand graphics which do not require OPQ training.",Not Available,No,No,Personality & Behavior
OPQ Team Types & Leadership Styles Profile,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-profile,This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles. Belbins team types: individual preferred role when working in ateam. Bass's leadership and reporting styles: individuals preferred leadership styles and likely style of behaviour as a direct report.,Not Available,No,No,Personality & Behavior
OPQ Team Types and Leadership Styles Report,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-report,This OPQ (Occupational Personality Questionnaire) report is based on Belbin's team types and Bass's leadership and reporting styles. Belbins team types: individual preferred role when working in ateam. Bass's leadership and reporting styles: individuals preferred leadership styles and likely style of behaviour as a direct report.,Not Available,No,No,Personality & Behavior
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report,"This OPQ (Occupational Personality Questionnaire) report provides clear and relevant information about an individual's strengths and areas for development, for use in staff development and on-boarding situations.

Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.

Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.",Not Available,No,No,Personality & Behavior
OPQ UCF Development Action Planner Report 2.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0,"This OPQ (Occupational Personality Questionnaire) report provides clear and relevant information about an individual's strengths and areas for development, for use in staff development and on-boarding situations.",Not Available,No,No,Personality & Behavior
OPQ Universal Competency Report 1.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report,"This OPQ (Occupational Personality Questionnaire) report is based on the Universal Competency framework. It graphically outlines how an individual's typical way of behaving is likely to impact on competencies. It provides a graphical scale for each competency and summarises aspects of personality which contribute (positively or negatively) to each competency.

Please note this report is currently being updated on Talent Central as part of a reporting refresh project, and there may be visual differences when comparing Talent Central reports to ones generated on other assessment platforms. Differences are regarding the layout and display of the reports only and do not affect the underlying scoring. When viewing sample reports, please ensure you select the appropriate language and platform example.

Where a sample report has no platform indicated, it is available on both the Talent Central and SODA platforms.",Not Available,No,No,Personality & Behavior
OPQ Universal Competency Report 2.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report-2-0,This OPQ (Occupational Personality Questionnaire) report is based on the Universal Competency framework. It graphically outlines how an individual's typical way of behaving is likely to impact on competencies. It provides a graphical scale for each competency and summarises aspects of personality which contribute (positively or negatively) to each competency.,Not Available,No,No,Personality & Behavior
OPQ User and Managers Report,https://www.shl.com/products/product-catalog/view/opq-user-and-managers-report,"This OPQ (Occupational Personality Questionnaire) report consists of two reports. The User Report includes a Profile Chart and narrative text, focusing on an individuals likely way of behaving at work. The Manager's Report describes the individual's personal style in narrative text that can be given directly to a line manager. These reports can be used as an interpretation aid when giving feedback, writing reports, or interpreting OPQ information.",Not Available,No,No,Personality & Behavior
OPQ User Report,https://www.shl.com/products/product-catalog/view/opq-user-report,"This OPQ (Occupational Personality Questionnaire) report includes a Profile Chart and narrative text, focusing on an individuals likely way of behaving at work. It can be used as an interpretation aid when giving feedback, writing reports, or interpreting OPQ information.",Not Available,No,No,Personality & Behavior | Simulations
Oracle DBA (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-advanced-level-new,"Multi-choice test that measures the knowledge of Oracle DB architecture, backup and recovery, MySQL administration and advanced topics such as network configuration and data warehouse management.",Not Available,No,No,Knowledge & Skills
Oracle DBA (Entry Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-entry-level-new,"Multi-choice test that measures the knowledge of Oracle database architecture, data management, backup and recovery, and MySQL administration.",Not Available,No,No,Knowledge & Skills
Oracle PL/SQL (New),https://www.shl.com/products/product-catalog/view/oracle-plsql-new,"Multi-choice test that measures the knowledge of SQL queries, relational database concepts and specific Oracle PL/SQL features.",Not Available,No,No,Knowledge & Skills
Oracle WebLogic Server (New),https://www.shl.com/products/product-catalog/view/oracle-weblogic-server-new,"Multi-choice test that measures the knowledge of the concepts of WebLogic such as server installation, administration, node, logs manager, security and deployment.",Not Available,No,No,Knowledge & Skills
Organic Chemistry (New),https://www.shl.com/products/product-catalog/view/organic-chemistry-new,Multi-choice test that measures the knowledge of the basic concepts in organic chemistry.,Not Available,No,No,Knowledge & Skills
Paint Technology (New),https://www.shl.com/products/product-catalog/view/paint-technology-new,"Multi-choice test that measures the knowledge of paint raw materials and precursors, manufacture of different types of coatings, surface treatment and coating applications.",Not Available,No,No,Knowledge & Skills
Pediatrics (New),https://www.shl.com/products/product-catalog/view/pediatrics-new,"Multi-choice test that measures the basic knowledge of pediatric diseases, their symptoms and the medicines administered to cure or prevent them.",Not Available,No,No,Knowledge & Skills
Pega Development (New),https://www.shl.com/products/product-catalog/view/pega-development-new,"Multi-choice test that measures the knowledge of Pega architecture, user interface, rule and user management, case management, integration with external systems, frameworks, applications and performance.",Not Available,No,No,Knowledge & Skills
Perl (New),https://www.shl.com/products/product-catalog/view/perl-new,"Multi-choice test that measures the knowledge of Perl scripting used for text manipulation, web development, system administration, etc.",Not Available,No,No,Knowledge & Skills
Personal Banker - Short Form,https://www.shl.com/products/product-catalog/view/personal-banker-short-form,"The Personal Banker – Loan Officer solution is for entry to mid-level financial institution positions. Sample tasks for this job would include, but are not limited to: acquiring, retaining and expanding new and existing customer relationships, discovering customer needs, making the best recommendation, completing sales, proactively contacting & meeting customers, and asking for referrals.",Not Available,No,No,Ability & Aptitude | Personality & Behavior | Knowledge & Skills | Simulations
Petrochemical Engineering (New),https://www.shl.com/products/product-catalog/view/petrochemical-engineering-new,"Multi-choice test that measures the knowledge of fluid and thermal principles of petrochemical engineering, chemical processes, petroleum composition and processing.",Not Available,No,No,Knowledge & Skills
Petroleum Engineering (New),https://www.shl.com/products/product-catalog/view/petroleum-engineering-new,"Multi-choice test that measures the knowledge of petroleum engineering, drilling and production operations and offshore petroleum production.",Not Available,No,No,Knowledge & Skills
Pharmaceutical Analysis (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-analysis-new,"Multi-choice test that measures the knowledge of laboratory analytical techniques such as chromatography, titration, spectroscopy, and spectrophotometry.",Not Available,No,No,Knowledge & Skills
Pharmaceutical Chemistry (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-chemistry-new,"Multi-choice test that measures the knowledge of physical chemistry, organic chemistry, inorganic chemistry, biochemistry and medicinal chemistry.",Not Available,No,No,Knowledge & Skills
Pharmaceutical Science (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-science-new,"Multi-choice test that measures the knowledge of drug manufacture, drug delivery, drug action, and pharmaceutical analysis techniques.",Not Available,No,No,Knowledge & Skills
Pharmaceutics (New),https://www.shl.com/products/product-catalog/view/pharmaceutics-new,"Multi-choice test that measures the knowledge of pharmaceutical engineering and technology for drug manufacture, biopharmaceutics, modern pharmaceutics and dispensing pharmacy.",Not Available,No,No,Knowledge & Skills
Pharmacology (New),https://www.shl.com/products/product-catalog/view/pharmacology-new,"Multi-choice test that measures the knowledge of pharmacological drugs classification, chemotherapy, inflammatory disorders, drug action on nervous system, endocrine pharmacology, drug action on circulatory system and GI tract.",Not Available,No,No,Knowledge & Skills
Phone Banker - Short Form,https://www.shl.com/products/product-catalog/view/phone-banker-short-form,"This solution is for entry to mid-level financial institution positions. Candidates are asked to answer multiple choice questions to assess learning potential, dependability, persistence and planfulness, sales focus, customer focus, and working with information.",Not Available,No,No,Ability & Aptitude | Personality & Behavior
PHP (New),https://www.shl.com/products/product-catalog/view/php-new,"Multi-choice test that measures the knowledge of OOPs & programming constructs, web & database handling and advanced PHP.",Not Available,No,No,Knowledge & Skills
PJM Development Report,https://www.shl.com/products/product-catalog/view/pjm-development-report,"The Person-Job Match Report is unique in that it matches the performance potential of the individual to the job’s specific competencies. This provides you with a comprehensive and insightful understanding of person-job fit. The PJM Development report is written to support competency focused development of an individual. In a development context, this report can be used: To identify specific areas of strength and weakness that may impact on the individual?s performance.As the basis for identifying areas for development and development planning. For discussing fit to future roles and career planning.",Not Available,No,No,Competencies | Ability & Aptitude | Personality & Behavior
PJM Selection Report,https://www.shl.com/products/product-catalog/view/pjm-selection-report,"The PJM Report provides a clear indication of each candidate's ""degree of fit"" to a role. Provides targeted assessment results that match individuals with jobs . Links the essential/desirable competencies for a specific job with an individual’s competency potential. Provides an overall Match (or fit) Score useful in ranking/sorting candidates for selection and/or development (e.g. Talent Audit). It provides a highly visual profile of a candidate's strengths and limitations against identified required competencies. Includes a summary table that enables prioritisation of action planning for development of critical competencies for an individual (by tabling Competency Potential against Job Importance for the role). It includes highly descriptive statements about a candidate's strengths and development needs/limitations. The extended report versions include proposed competency-based interview questions to enable probing of specific situations in which the candidate might have demonstrated critical job behaviours. The PJM Report is designed for use by line managers and HR professionals in selection and development situations. It is valuable for identifying an individual's overall fit as well as likely areas of strength and weakness relative to their behaviour at work. In a selection context, this information can be used: For making interviewers aware of the areas that may need further probing. As a basis for suggesting and creating relevant interview questions. For identifying the relative strengths and weaknesses of shortlisted candidates.",Not Available,No,No,Ability & Aptitude | Competencies | Personality & Behavior
Polymer Engineering (New),https://www.shl.com/products/product-catalog/view/polymer-engineering-new,"Multi-choice test that measures the knowledge of characterization of polymers, processing, synthesis, testing and applications in daily life.",Not Available,No,No,Knowledge & Skills
Power Electronics and Drives (New),https://www.shl.com/products/product-catalog/view/power-electronics-and-drives-new,"Multi-choice test that measures the knowledge of power semiconductor devices, power electronic converters, drives and control systems.",Not Available,No,No,Knowledge & Skills
Power System Engineering (New),https://www.shl.com/products/product-catalog/view/power-system-engineering-new,"Multi-choice test that measures the knowledge of power generation and transmission, electrical machines, power systems and drives, control and instrumentation, fluid mechanics and machines.",Not Available,No,No,Knowledge & Skills
Prep/Line Cook Solution,https://www.shl.com/products/product-catalog/view/prepline-cook-solution,"The Prep/Line Cook solution is for entry-level food preparation positions in the hospitality industry. Sample tasks include preparing ingredients and final food items for consumption. The solution is focused on work ethic and performing quality work with no direct customer contact or sales requirements. Potential job titles that use this solution are: Cook, Line Cook, Food Preparer, Prep Cook and Chef. Multiple configurations of this solution are available.",Not Available,No,No,Ability & Aptitude | Personality & Behavior
Prism (New),https://www.shl.com/products/product-catalog/view/prism-new,"Multi-choice test that measures the knowledge of modules, patterns and other basic concepts of using the Prism library.",Not Available,No,No,Knowledge & Skills
Production and Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/production-and-industrial-engineering-new,"Multi-choice test that measures the knowledge of production technology, quality management, and design and planning of manufacturing systems.",Not Available,No,No,Knowledge & Skills
Production Engineering (New),https://www.shl.com/products/product-catalog/view/production-engineering-new,"Multi-choice test that measures the knowledge of production technology and analysis, metal cutting, tool design, material science and CIM.",Not Available,No,No,Knowledge & Skills
Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution,"Our Professional 7.0 solution is designed for all non-managerial professional individual contributor positions. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.
Report Language Availability: English (USA), Latin American Spanish.",Not Available,No,No,Personality & Behavior | Competencies
Professional + 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution-3958,"Our Professional + 7.0 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.
Report Language Availability: English (USA).",Not Available,No,No,Ability & Aptitude | Personality & Behavior | Competencies
Professional + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29,"Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.",Not Available,No,No,Personality & Behavior | Competencies
Professional + 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution,"Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.",Not Available,No,No,Personality & Behavior | Competencies
Professional 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution-4247,"Our Professional 7.1 solution is designed for all non-managerial professional individual contributor positions. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.",Not Available,No,No,Competencies | Personality & Behavior
Professional 8.0 JFA,https://www.shl.com/products/product-catalog/view/professional-8-0-jfa,The Professional 8.0 Job-Focused Assessment is designed for all non-managerial professional/individual contributor positions. It measures behaviors that underlie successful performance in a professional/individual contributor setting across a wide range of industries.,Not Available,No,No,Personality & Behavior | Knowledge & Skills
Professional/Individual Contributor - Short Form,https://www.shl.com/products/product-catalog/view/professionalindividual-contributor-short-form,"The Professional/Individual Contributor solution is for mid to upper-level, non-managerial positions. Sample tasks for these jobs include, but are not limited to: meeting with clients to determine their needs, analyzing data sets, and working with co-workers to complete projects. Potential job titles that use this solution are: Engineer, Human Resource Consultant, and IT Analyst.",Not Available,No,No,Ability & Aptitude | Personality & Behavior | Simulations
Programming Concepts,https://www.shl.com/products/product-catalog/view/programming-concepts,"The Programming Concepts test measures knowledge of the core aspects of computer science programming that is valid across programming languages. Designed for all programmers, this test covers the following topics: Algorithms, Complex Data Types, Data Access, Productivity and Quality, Program Flow, Program Structure, Programming Paradigms, User Interface, Variables, Data Types, and Operators.",Not Available,No,No,Knowledge & Skills
Project Management (2013),https://www.shl.com/products/product-catalog/view/project-management-2013,"The Project Management (2013) test measures knowledge of how to manage projects to ensure that objectives are completed on time and within budget. The test is based on Project Management Institute's (PMI's), Project Management Body of Knowledge (PMBOK) Fifth Edition methodology. Designed for all professionals, this test covers the following topics: Project Communications Management, Project Cost Management, Project Human Resource Management, Project Management Characteristics, Project Management Methodologies, Project Procurement Management, Project Quality Management, Project Risk Management, Project Scope Management, Project Stakeholder Management, and Project Time Management.",Not Available,No,No,Knowledge & Skills
Project Manager - Short Form,https://www.shl.com/products/product-catalog/view/project-manager-short-form,"The Project Manager solution is designed for positions that lead medium to large scale projects with multiple team members involved. Sample tasks for this job include, but are not limited to: guiding, supervising, and influencing project team members, scoping project resource requirements, and managing project timelines, scope and budgets. Potential job titles that ues this solution are: Project Manager, Implementation Manager, Construction Project Manager and IT Project Manager.",Not Available,No,No,Ability & Aptitude | Personality & Behavior | Simulations
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/products/product-catalog/view/proof-operator-processing-specialist-short-form,"The Proof Operator – Processing Specialist solution is for entry-level positions that perform basic daily bank operations procedures such as the processing of deposits, reconciling accounts, and handling money transfers. Potential job titles include: Proof Operator, Bank Operations Processor, and Operations Specialist.",Not Available,No,No,Simulations
Proofreading v1,https://www.shl.com/products/product-catalog/view/proofreading-v1,"This assessment measures ability to read for errors involving spelling, punctuation, grammar and word choice. It also measures ability to correct those errors.",Not Available,No,No,Knowledge & Skills
Python (New),https://www.shl.com/products/product-catalog/view/python-new,"Multi-choice test that measures the knowledge of Python programming, databases, modules and library.",Not Available,No,No,Knowledge & Skills
R Programming (New),https://www.shl.com/products/product-catalog/view/r-programming-new,Multi-choice test that measures the knowledge of R programming and its application in statistics.,Not Available,No,No,Knowledge & Skills
ReactJS (New),https://www.shl.com/products/product-catalog/view/reactjs-new,"Multi-choice test that measures the technical knowledge of React APIs, render function, JSX, form validation and styling.",Not Available,No,No,Knowledge & Skills
Reading Comprehension - English v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-english-v1,"The Reading Comprehension - English assessment provides a general measure of English reading comprehension. This test is comprised of items that contain a passage that you must read in order to answer the question being asked. The questions focus on the candidate's ability to demonstrate an understanding of the passage. Questions may be specific in nature, with answers that can be found almost word for word in the passage. For example, the question may ask for a date, name or place that can be found by closely reading through the passage. Alternatively, the questions may be general in nature, with answers that can be determined only by fully understanding the meaning of the passage. ""What is the theme of the passage?"" or ""What is the mood of the author?"" are examples of general questions the candidate may be asked.",Not Available,No,No,Ability & Aptitude
